province_eng,province_arm,capital_eng,capital_arm,area,population,population_density
Aragatsotn,ԱՐԱԳԱԾՈՏՆ,Ashtarak,Աշտարակ,2756,132925,48.2311320754717
Ararat,ԱՐԱՐԱՏ,Artashat,Արտաշատ,2090,260367,124.5775119617225
Armavir,ԱՐՄԱՎԻՐ,Armavir,Արմավիր,1242,265770,213.9855072463768
Gegharkunik,ԳԵՂԱՐՔՈՒՆԻՔ,Gavar,Գավառ,5349,235075,43.94746681622733
Kotayk,ԿՈՏԱՅՔ,Hrazdan,Հրազդան,2086,254397,121.95445829338446
Lori,ԼՈՌԻ,Vanadzor,Վանաձոր,3799,235537,61.99973677283496
Shirak,ՇԻՐԱԿ,Gyumri,Գյումրի,2680,251941,94.00783582089552
Syunik,ՍՅՈՒՆԻՔ,Kapan,Կապան,4506,141771,31.46271637816245
Tavush,ՏԱՎՈՒՇ,Ijevan,Իջևան,2704,128609,47.5625
Vayots Dzor,ՎԱՅՈՑ ՁՈՐ,Yeghegnadzor,Եղեգնաձոր,2308,52324,22.670710571923742
Yerevan,ԵՐԵՎԱՆ,–,–,223,1060138,4753.982062780269
